GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fbp-engine,com.fbp.engine,App,7,0,0,0,3,0,2,0,2,0
fbp-engine,com.fbp.engine.node,TransformNode,0,28,0,2,0,9,0,3,0,2
fbp-engine,com.fbp.engine.node,PrintNode,0,21,0,0,0,6,0,3,0,3
fbp-engine,com.fbp.engine.node,AlertNode,3,0,0,0,1,0,1,0,1,0
fbp-engine,com.fbp.engine.node,TimerNode,1,58,1,1,1,17,2,4,1,4
fbp-engine,com.fbp.engine.node,SensorNode,3,0,0,0,1,0,1,0,1,0
fbp-engine,com.fbp.engine.node,CounterNode,8,33,0,0,2,9,1,2,1,2
fbp-engine,com.fbp.engine.node,DelayNode,3,24,0,0,2,9,0,2,0,2
fbp-engine,com.fbp.engine.node,SplitNode,0,49,1,3,0,13,1,3,0,2
fbp-engine,com.fbp.engine.node,FilterNode,11,67,3,9,4,17,5,6,2,3
fbp-engine,com.fbp.engine.node,GeneratorNode,18,22,0,0,7,6,5,3,5,3
fbp-engine,com.fbp.engine.node,LogNode,8,34,0,0,2,10,2,3,2,3
fbp-engine,com.fbp.engine.node,AbstractNode,2,74,1,1,2,20,3,8,2,8
fbp-engine,com.fbp.engine.runner,ThreeNodeRunner,143,0,8,0,51,0,10,0,6,0
fbp-engine,com.fbp.engine.runner,SplitNodeRunner,166,0,6,0,65,0,9,0,6,0
fbp-engine,com.fbp.engine.runner,TransformNodeRunner,137,0,6,0,49,0,9,0,6,0
fbp-engine,com.fbp.engine.runner,FourNodePipeRunner,166,0,6,0,65,0,9,0,6,0
fbp-engine,com.fbp.engine.runner,TimeFilterRunner,121,0,4,0,48,0,7,0,5,0
fbp-engine,com.fbp.engine.runner,MainRunner,120,0,4,0,48,0,7,0,5,0
fbp-engine,com.fbp.engine.Demo,UnSafeBufferDemo,64,0,4,0,21,0,6,0,4,0
fbp-engine,com.fbp.engine.Demo,BlockingQueueDemo,81,0,4,0,33,0,7,0,5,0
fbp-engine,com.fbp.engine.Demo,SynchronizedBufferDemo,112,0,6,0,40,0,8,0,5,0
fbp-engine,com.fbp.engine.message,Message,0,73,0,0,0,17,0,7,0,7
fbp-engine,com.fbp.engine.core,Connection,0,32,0,0,0,10,0,5,0,5
fbp-engine,com.fbp.engine.core,Flow,3,0,0,0,1,0,1,0,1,0
fbp-engine,com.fbp.engine.core,DefaultInputPort,0,17,0,0,0,7,0,3,0,3
fbp-engine,com.fbp.engine.core,FlowEngine,3,0,0,0,1,0,1,0,1,0
fbp-engine,com.fbp.engine.core,DefaultOutputPort,7,36,0,2,4,11,1,4,1,3
